CZ_NAME,event_count_2000_2005,event_count_2019_2024,rate_change_percent
EFFINGHAM,1.0,3.0,200.0
ELBERT,6.0,7.0,16.666666666666664
EMANUEL,3.0,0.0,-100.0
EVANS,3.0,2.0,-33.33333333333333
FANNIN,9.0,8.0,-11.11111111111111
FAYETTE,13.0,3.0,-76.92307692307693
FLOYD,16.0,15.0,-6.25
FORSYTH,8.0,1.0,-87.5
FRANKLIN,5.0,3.0,-40.0
FULTON,30.0,41.0,36.666666666666664
GILMER,10.0,3.0,-70.0
GLASCOCK,0.0,1.0,
GLYNN,1.0,7.0,600.0
GORDON,18.0,3.0,-83.33333333333334
GRADY,2.0,3.0,50.0
GREENE,3.0,1.0,-66.66666666666666
GWINNETT,12.0,5.0,-58.333333333333336
HABERSHAM,12.0,13.0,8.333333333333332
HALL,6.0,10.0,66.66666666666666
HANCOCK,1.0,2.0,100.0
HARALSON,9.0,0.0,-100.0
HARRIS,6.0,4.0,-33.33333333333333
HART,5.0,2.0,-60.0
HEARD,5.0,2.0,-60.0
HENRY,5.0,3.0,-40.0
HOUSTON,6.0,3.0,-50.0
INLAND CAMDEN,2.0,0.0,-100.0
INLAND GLYNN,1.0,0.0,-100.0
IRWIN,1.0,18.0,1700.0
JACKSON,4.0,6.0,50.0
JASPER,1.0,3.0,200.0
JEFF DAVIS,2.0,4.0,100.0
JEFFERSON,0.0,2.0,
JENKINS,2.0,2.0,0.0
JOHNSON,2.0,0.0,-100.0
JONES,5.0,6.0,20.0
LAMAR,5.0,3.0,-40.0
LANIER,0.0,4.0,
LAURENS,5.0,15.0,200.0
LEE,2.0,16.0,700.0
LIBERTY,5.0,1.0,-80.0
LINCOLN,0.0,4.0,
LONG,2.0,1.0,-50.0
LOWNDES,4.0,51.0,1175.0
LUMPKIN,2.0,4.0,100.0
MACON,4.0,3.0,-25.0
MADISON,3.0,0.0,-100.0
MARION,3.0,2.0,-33.33333333333333
MCDUFFIE,1.0,1.0,0.0
MCINTOSH,4.0,0.0,-100.0
MERIWETHER,7.0,4.0,-42.857142857142854
MILLER,1.0,8.0,700.0
MITCHELL,0.0,28.0,
MONROE,2.0,5.0,150.0
MONTGOMERY,3.0,2.0,-33.33333333333333
MORGAN,5.0,7.0,40.0
MURRAY,12.0,1.0,-91.66666666666666
MUSCOGEE,10.0,11.0,10.0
NEWTON,4.0,2.0,-50.0
NORTH FULTON,3.0,0.0,-100.0
OCONEE,1.0,1.0,0.0
OGLETHORPE,2.0,0.0,-100.0
PAULDING,7.0,12.0,71.42857142857143
PEACH,6.0,2.0,-66.66666666666666
PICKENS,6.0,5.0,-16.666666666666664
PIERCE,1.0,0.0,-100.0
PIKE,9.0,33.0,266.66666666666663
POLK,7.0,13.0,85.71428571428571
PULASKI,7.0,1.0,-85.71428571428571
PUTNAM,6.0,8.0,33.33333333333333
QUITMAN,0.0,1.0,
RABUN,9.0,8.0,-11.11111111111111
RANDOLPH,1.0,1.0,0.0
RICHMOND,4.0,5.0,25.0
ROCKDALE,6.0,2.0,-66.66666666666666
SCHLEY,1.0,0.0,-100.0
SCREVEN,1.0,1.0,0.0
SEMINOLE,3.0,4.0,33.33333333333333
SOUTH FULTON,2.0,0.0,-100.0
SPALDING,5.0,5.0,0.0
STEPHENS,7.0,1.0,-85.71428571428571
STEWART,1.0,0.0,-100.0
SUMTER,8.0,1.0,-87.5
TALBOT,3.0,7.0,133.33333333333331
TALIAFERRO,4.0,0.0,-100.0
